	citric acid	citric acid	citric acid	citric acid	glucose	glucose	glucose	glucose	malic acid	malic acid	malic acid	malic acid
	idp1	mae1	wild-type	zwf1	idp1	mae1	wild-type	zwf1	idp1	mae1	wild-type	zwf1
	FEB189	FEB188	FKP391	FEB184	FEB189	FEB188	FKP391	FEB184	FEB189	FEB188	FKP391	FEB184
y000205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000207	0.026	0.067	0.068	0.014	0.08	0.146	0.216	0.028	0.036	0.08	0.095	0.031
y000208	0.026	0.067	0.068	0.014	0.08	0.146	0.216	0.028	0.036	0.08	0.095	0.031
y000209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000210	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000214	0.022	0.058	0.058	0.012	0.069	0.125	0.185	0.024	0.031	0.068	0.081	0.027
y000215	0.074	0.191	0.193	0.04	0.228	0.413	0.614	0.081	0.102	0.227	0.27	0.089
y000216	0.095	1.422	0.479	0.1	0.0	0.0	-1.983	0.0	0.0	7.644	0.672	0.221
y000217	0.334	2.04	1.102	0.229	0.738	1.335	0.0	0.26	0.328	8.377	1.544	0.508
y000218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
y000219	0.074	0.191	0.193	0.04	0.228	0.413	0.614	0.081	0.102	0.227	0.27	0.089
y000220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000225	0.017	0.044	0.044	0.009	0.052	0.094	0.14	0.018	0.023	0.052	0.062	0.02
y000226	11.753	28.222	28.574	5.944	39.589	24.523	18.651	52.049	18.068	38.468	45.58	14.981
y000227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000230	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000231	0.002	0.006	0.006	0.001	0.008	0.014	0.02	0.003	0.003	0.008	0.009	0.003
y000233	0.002	0.006	0.006	0.001	0.008	0.014	0.02	0.003	0.003	0.008	0.009	0.003
y000234	0.002	0.006	0.006	0.001	0.008	0.014	0.02	0.003	0.003	0.008	0.009	0.003
y000235	0.002	0.006	0.006	0.001	0.008	0.014	0.02	0.003	0.003	0.008	0.009	0.003
y000236	0.002	0.006	0.006	0.001	0.008	0.014	0.02	0.003	0.003	0.008	0.009	0.003
y000237	0.002	0.006	0.006	0.001	0.008	0.014	0.02	0.003	0.003	0.008	0.009	0.003
y000238	0.002	0.006	0.006	0.001	0.008	0.014	0.02	0.003	0.003	0.008	0.009	0.003
y000239	0.002	0.006	0.006	0.001	0.008	0.014	0.02	0.003	0.003	0.008	0.009	0.003
y000240	0.002	0.006	0.006	0.001	0.008	0.014	0.02	0.003	0.003	0.008	0.009	0.003
y000241	0.002	0.006	0.006	0.001	0.008	0.014	0.02	0.003	0.003	0.008	0.009	0.003
y000242	0.002	0.006	0.006	0.001	0.008	0.014	0.02	0.003	0.003	0.008	0.009	0.003
y000243	0.002	0.006	0.006	0.001	0.008	0.014	0.02	0.003	0.003	0.008	0.009	0.003
y000244	0.002	0.006	0.006	0.001	0.008	0.014	0.02	0.003	0.003	0.008	0.009	0.003
y000249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000250	0.048	0.125	0.126	0.026	0.149	0.27	0.401	0.053	0.066	0.148	0.177	0.058
y000251	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0
y000252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000253	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0
y000254	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0
y000255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000257	0.003	0.009	0.009	0.002	0.011	0.019	0.028	0.004	0.005	0.01	0.012	0.004
y000258	0.0	0.0	0.0	0.0	0.001	0.001	0.002	0.0	0.0	0.001	0.001	0.0
y000259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000260	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0
y000263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000270	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
y000272	0.046	0.12	0.121	0.025	0.143	0.259	0.384	0.05	0.064	0.142	0.169	0.056
