	SRM (fmole/ug) - average of peptides_idp1_citric acid	SRM (fmole/ug) - average of peptides_idp1_glucose	SRM (fmole/ug) - average of peptides_idp1_malic acid	SRM (fmole/ug) - average of peptides_mae1_citric acid	SRM (fmole/ug) - average of peptides_mae1_glucose	SRM (fmole/ug) - average of peptides_mae1_malic acid	SRM (fmole/ug) - average of peptides_wild-type_citric acid	SRM (fmole/ug) - average of peptides_wild-type_glucose	SRM (fmole/ug) - average of peptides_wild-type_malic acid	SRM (fmole/ug) - average of peptides_zwf1_citric acid	SRM (fmole/ug) - average of peptides_zwf1_glucose	SRM (fmole/ug) - average of peptides_zwf1_malic acid	$\sigma$_idp1_citric acid	$\sigma$_idp1_glucose	$\sigma$_idp1_malic acid	$\sigma$_mae1_citric acid	$\sigma$_mae1_glucose	$\sigma$_mae1_malic acid	$\sigma$_wild-type_citric acid	$\sigma$_wild-type_glucose	$\sigma$_wild-type_malic acid	$\sigma$_zwf1_citric acid	$\sigma$_zwf1_glucose	$\sigma$_zwf1_malic acid
YALI0D20768g	17.968333333333334	33.185	51.89333333333334	37.218333333333334	18.541666666666668	38.518333333333324	24.223333333333333	25.040000000000003	25.22666666666667	17.525	24.466666666666665	39.998333333333335	1.3826996540584406	5.463407819301062	13.59939919016033	1.8441280685823689	2.616841289290074	1.5719759328098297	3.1884962495404214	5.837116154403646	6.796959491812008	0.48002604096027823	0.7484873635094538	1.022158663482993
YALI0D23397g	26.273333333333337	36.763333333333335	61.89833333333333	29.22666666666667	31.98833333333333	28.936666666666667	24.016666666666666	28.19	32.90833333333334	21.92833333333333	21.16	50.913333333333334	1.368158738353607	3.8415242200633513	8.157267209876931	4.736048810277755	5.3795198050879325	2.008060839051776	1.7938947386436384	1.8724048707477767	6.8171664445965625	1.890035273039456	4.745000000000001	5.647143820847251
YALI0D23683g	67.03833333333333	173.63166666666666	41.095000000000006	235.42999999999998	113.86500000000001	19.596666666666668	185.765	162.07500000000002	52.251666666666665	53.05500000000001	20.213333333333335	24.933333333333334	23.312068941501806	43.11737884349339	7.3211491584313455	108.25650800298335	28.59694345555133	0.17214335111567108	53.25141993412005	80.25118519374028	21.01270587842826	20.95656997220681	5.609644225201214	2.4707303238786156
YALI0D24431g	132.49499999999998	158.49833333333336	198.45666666666668	194.045	98.38666666666666	174.03333333333333	128.275	105.07166666666666	141.56333333333333	112.84499999999998	69.84500000000001	171.93666666666664	12.35694541543339	15.22533442435119	34.23004869019812	24.098320999604923	38.72339129432406	3.8753881526027008	12.51862512418995	18.50905274003327	60.9825387576914	14.845153249461578	11.958102901380302	10.32751704589894
YALI0E00638g	130.285	102.58166666666666	91.93833333333333	128.38833333333332	140.89166666666668	8.171666666666667	132.10666666666668	148.475	64.815	93.61166666666668	68.39999999999999	38.155	8.552144467909777	17.337700491510798	12.457564301794044	4.227896443071111	41.44588349080441	1.0390540569832416	11.386844748802599	3.5783760283122716	36.124995847750625	6.5325460835215985	12.894455203691244	4.25187017675752
YALI0E02090g	8.298333333333334	16.31	9.660000000000002	18.436666666666667	18.925	4.32	14.188333333333334	23.945000000000004	8.32	6.413333333333333	6.829999999999999	3.986666666666667	1.0691858273159687	1.4094413787029245	0.7900000000000008	4.671285511862163	1.6572643120516406	0.30335622624235054	3.542747286123205	6.3560424007396294	1.4205984654363109	1.24294341517759	1.2487693942437887	0.3134618530751924
YALI0E02442g	0.042666666666666665	0.15333333333333332	0.07466666666666666	0.029333333333333333	0.05933333333333333	0.046000000000000006	0.049999999999999996	0.08666666666666667	0.044000000000000004	0.05000000000000001	0.11133333333333335	0.06333333333333334	0.007571877794400367	0.03189566323708183	0.02386070689089772	0.008326663997864534	0.013012814197295422	0.009165151389911683	0.014000000000000004	0.015534906930308071	0.02433105012119287	0.010000000000000009	0.07414400402819729	0.02773685875028629
YALI0E02684g	47.72	48.25833333333333	89.10166666666667	67.67666666666666	82.78666666666668	40.32333333333333	60.51500000000001	88.89999999999999	68.75166666666667	34.35	33.538333333333334	51.346666666666664	9.24437531691569	6.856158423879466	7.409470853801452	19.880591247076467	40.31338187665895	1.738543451666746	7.7189361313590465	20.30791963742224	16.949784905223236	3.861913385874936	5.5608594959172715	3.609585617953016
YALI0E03212g	0.8116666666666666	9.475	0.5716666666666667	2.8533333333333335	2.8800000000000003	0.10000000000000002	2.775	3.9633333333333334	0.9916666666666666	1.3866666666666667	0.8966666666666665	0.2133333333333333	0.3642229170897039	2.795496378105327	0.1674315780649914	1.3104038817606325	0.9918165152889925	0.027838821814150108	0.6934154598795732	2.3888194434350485	0.3891122374499848	1.3401616817881838	0.29758752213984596	0.07112196097783956
YALI0E03410g	0.1922222222222222	0.08888888888888889	0.36666666666666664	0.2288888888888889	0.06333333333333334	0.13555555555555557	0.16	0.05666666666666667	0.1466666666666667	0.08222222222222224	0.12555555555555553	0.2544444444444445	0.011706281947614186	0.013877773329774218	0.043333333333333356	0.024113927126900785	0.0033333333333333375	0.01261979632400061	0.005773502691896247	0.005773502691896256	0.027284509239574827	0.010183501544346307	0.009622504486493735	0.008388704928078626
YALI0E05137g	32.43666666666667	71.0	65.535	43.623333333333335	58.09166666666666	44.126666666666665	34.053333333333335	57.84166666666666	53.65833333333333	30.973333333333333	30.51833333333333	34.775	1.3631061342879118	9.09535458352229	6.894434349531508	7.462074666829148	13.91394025189606	1.2190604305502406	1.6960124802999927	5.857261163148975	3.8210088109468328	4.234041607416408	5.089799439401646	1.8240545496229008
YALI0E05555g	0.08333333333333333	0.25833333333333336	0.23833333333333337	0.08333333333333333	0.19333333333333336	0.09833333333333334	0.07666666666666666	0.2416666666666667	0.11166666666666668	0.075	0.17499999999999996	0.19499999999999998	0.010408329997330658	0.06331139971074193	0.05057996968497837	0.017559422921421226	0.07653975002136691	0.024664414311581236	0.011547005383792512	0.06429100507328636	0.045368858629387325	0.018027756377319935	0.027838821814150098	0.0492442890089805
YALI0E06479g	52.68333333333334	119.63166666666666	128.28	45.916666666666664	54.254999999999995	42.153333333333336	34.324999999999996	46.81999999999999	54.845	73.03000000000002	94.435	127.32	5.655283665151851	10.688077859621595	16.4633137612086	9.068881316531455	7.079004167254039	2.514251048191758	3.4689948111808975	9.96991349009609	7.19940796177019	1.1147981880143145	10.418592755262102	11.686788481015643
YALI0E07942g	0.6033333333333333	0.9683333333333334	0.9066666666666666	0.77	0.58	0.535	0.5916666666666667	0.4283333333333334	0.48666666666666664	0.5983333333333335	0.085	0.024999999999999998	0.046457866215887926	0.12887332281482208	0.12473304828045105	0.07794228634059949	0.11269427669584643	0.013228756555322943	0.05507570547286101	0.09251126057585281	0.18790511790085265	0.0922406273468114	0.01802775637731995	0.005
